FID1	IID1	FID2	IID2	Z0	Z1	Z2	PI_HAT	RELATIONSHIP_CATEGORY
MG1135	MG1135	MG1433	MG1433	0.8400	0.0000	0.1600	0.1600	Third_degree
MG1135	MG1135	MG1434	MG1434	0.8473	0.0000	0.1527	0.1527	Third_degree
MG1135	MG1135	MG1435	MG1435	0.8372	0.0000	0.1628	0.1628	Third_degree
MG1135	MG1135	MG1436	MG1436	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1135	MG1135	MG1437	MG1437	0.8392	0.0000	0.1608	0.1608	Third_degree
MG1135	MG1135	MG1438	MG1438	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1135	MG1135	MG1439	MG1439	0.8408	0.0000	0.1592	0.1592	Third_degree
MG1135	MG1135	MG1440	MG1440	0.8340	0.0000	0.1660	0.1660	Third_degree
MG1135	MG1135	MG1441	MG1441	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1135	MG1135	MG1442	MG1442	0.8440	0.0000	0.1560	0.1560	Third_degree
MG1135	MG1135	MG1443	MG1443	0.8614	0.0000	0.1386	0.1386	Third_degree
MG1135	MG1135	MG1444	MG1444	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1135	MG1135	MG1445	MG1445	0.8362	0.0000	0.1638	0.1638	Third_degree
MG1135	MG1135	MG1446	MG1446	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1135	MG1135	MG1447	MG1447	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1135	MG1135	MG1448	MG1448	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1135	MG1135	MG1449	MG1449	0.8342	0.0000	0.1658	0.1658	Third_degree
MG1135	MG1135	MG1450	MG1450	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1135	MG1135	MG1451	MG1451	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1135	MG1135	MG1452	MG1452	0.8366	0.0000	0.1634	0.1634	Third_degree
MG1135	MG1135	MG1453	MG1453	0.8424	0.0000	0.1576	0.1576	Third_degree
MG1135	MG1135	MG1454	MG1454	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1135	MG1135	MG1455	MG1455	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1135	MG1135	MG1456	MG1456	0.8340	0.0000	0.1660	0.1660	Third_degree
MG1135	MG1135	MG1457	MG1457	0.8388	0.0000	0.1612	0.1612	Third_degree
MG1135	MG1135	MG1458	MG1458	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1135	MG1135	MG1459	MG1459	0.8430	0.0000	0.1570	0.1570	Third_degree
MG1135	MG1135	MG1460	MG1460	0.8413	0.0000	0.1587	0.1587	Third_degree
MG1135	MG1135	MG1461	MG1461	0.8345	0.0000	0.1655	0.1655	Third_degree
MG1136	MG1136	MG1137	MG1137	0.8476	0.0000	0.1524	0.1524	Third_degree
MG1136	MG1136	MG1138	MG1138	0.8493	0.0000	0.1507	0.1507	Third_degree
MG1136	MG1136	MG1139	MG1139	0.8473	0.0000	0.1527	0.1527	Third_degree
MG1136	MG1136	MG1140	MG1140	0.8585	0.0000	0.1415	0.1415	Third_degree
MG1136	MG1136	MG1141	MG1141	0.8405	0.0000	0.1595	0.1595	Third_degree
MG1136	MG1136	MG1142	MG1142	0.8443	0.0000	0.1557	0.1557	Third_degree
MG1136	MG1136	MG1143	MG1143	0.8462	0.0000	0.1538	0.1538	Third_degree
MG1136	MG1136	MG1144	MG1144	0.8519	0.0000	0.1481	0.1481	Third_degree
MG1136	MG1136	MG1145	MG1145	0.8563	0.0000	0.1437	0.1437	Third_degree
MG1136	MG1136	MG1146	MG1146	0.8431	0.0000	0.1569	0.1569	Third_degree
MG1136	MG1136	MG1147	MG1147	0.8486	0.0000	0.1514	0.1514	Third_degree
MG1136	MG1136	MG1148	MG1148	0.8434	0.0000	0.1566	0.1566	Third_degree
MG1136	MG1136	MG1149	MG1149	0.8602	0.0000	0.1398	0.1398	Third_degree
MG1136	MG1136	MG1150	MG1150	0.8491	0.0000	0.1509	0.1509	Third_degree
MG1136	MG1136	MG1151	MG1151	0.8445	0.0000	0.1555	0.1555	Third_degree
MG1136	MG1136	MG1152	MG1152	0.8449	0.0000	0.1551	0.1551	Third_degree
MG1136	MG1136	MG1153	MG1153	0.8456	0.0000	0.1544	0.1544	Third_degree
MG1136	MG1136	MG1154	MG1154	0.8465	0.0000	0.1535	0.1535	Third_degree
MG1136	MG1136	MG1155	MG1155	0.8450	0.0000	0.1550	0.1550	Third_degree
MG1136	MG1136	MG1156	MG1156	0.8498	0.0000	0.1502	0.1502	Third_degree
MG1136	MG1136	MG1157	MG1157	0.8493	0.0000	0.1507	0.1507	Third_degree
MG1136	MG1136	MG1158	MG1158	0.8464	0.0000	0.1536	0.1536	Third_degree
MG1136	MG1136	MG1159	MG1159	0.8463	0.0000	0.1537	0.1537	Third_degree
MG1136	MG1136	MG1160	MG1160	0.8467	0.0000	0.1533	0.1533	Third_degree
MG1136	MG1136	MG1161	MG1161	0.8480	0.0000	0.1520	0.1520	Third_degree
MG1136	MG1136	MG1162	MG1162	0.8418	0.0000	0.1582	0.1582	Third_degree
MG1136	MG1136	MG1163	MG1163	0.8463	0.0000	0.1537	0.1537	Third_degree
MG1136	MG1136	MG1165	MG1165	0.8465	0.0000	0.1535	0.1535	Third_degree
MG1136	MG1136	MG1166	MG1166	0.8483	0.0000	0.1517	0.1517	Third_degree
MG1136	MG1136	MG1167	MG1167	0.8462	0.0000	0.1538	0.1538	Third_degree
MG1136	MG1136	MG1168	MG1168	0.8469	0.0000	0.1531	0.1531	Third_degree
MG1136	MG1136	MG1169	MG1169	0.8471	0.0000	0.1529	0.1529	Third_degree
MG1136	MG1136	MG1170	MG1170	0.8406	0.0000	0.1594	0.1594	Third_degree
MG1136	MG1136	MG1171	MG1171	0.8481	0.0000	0.1519	0.1519	Third_degree
MG1136	MG1136	MG1172	MG1172	0.8480	0.0000	0.1520	0.1520	Third_degree
MG1136	MG1136	MG1173	MG1173	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1136	MG1136	MG1174	MG1174	0.8518	0.0000	0.1482	0.1482	Third_degree
MG1136	MG1136	MG1175	MG1175	0.8470	0.0000	0.1530	0.1530	Third_degree
MG1136	MG1136	MG1176	MG1176	0.8527	0.0000	0.1473	0.1473	Third_degree
MG1136	MG1136	MG1177	MG1177	0.8496	0.0000	0.1504	0.1504	Third_degree
MG1136	MG1136	MG1178	MG1178	0.8444	0.0000	0.1556	0.1556	Third_degree
MG1136	MG1136	MG1179	MG1179	0.8482	0.0000	0.1518	0.1518	Third_degree
MG1136	MG1136	MG1180	MG1180	0.8494	0.0000	0.1506	0.1506	Third_degree
MG1136	MG1136	MG1181	MG1181	0.8506	0.0000	0.1494	0.1494	Third_degree
MG1136	MG1136	MG1182	MG1182	0.8391	0.0000	0.1609	0.1609	Third_degree
MG1136	MG1136	MG1183	MG1183	0.8485	0.0000	0.1515	0.1515	Third_degree
MG1136	MG1136	MG1184	MG1184	0.8441	0.0000	0.1559	0.1559	Third_degree
MG1136	MG1136	MG1185	MG1185	0.8440	0.0000	0.1560	0.1560	Third_degree
MG1136	MG1136	MG1186	MG1186	0.8445	0.0000	0.1555	0.1555	Third_degree
MG1136	MG1136	MG1187	MG1187	0.8407	0.0000	0.1593	0.1593	Third_degree
MG1136	MG1136	MG1188	MG1188	0.8423	0.0000	0.1577	0.1577	Third_degree
MG1136	MG1136	MG1189	MG1189	0.8527	0.0000	0.1473	0.1473	Third_degree
MG1136	MG1136	MG1190	MG1190	0.8475	0.0000	0.1525	0.1525	Third_degree
MG1136	MG1136	MG1191	MG1191	0.8529	0.0000	0.1471	0.1471	Third_degree
MG1136	MG1136	MG1192	MG1192	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1136	MG1136	MG1193	MG1193	0.8464	0.0000	0.1536	0.1536	Third_degree
MG1136	MG1136	MG1194	MG1194	0.8416	0.0000	0.1584	0.1584	Third_degree
MG1136	MG1136	MG1196	MG1196	0.8522	0.0000	0.1478	0.1478	Third_degree
MG1136	MG1136	MG1197	MG1197	0.8508	0.0000	0.1492	0.1492	Third_degree
MG1136	MG1136	MG1198	MG1198	0.8426	0.0000	0.1574	0.1574	Third_degree
MG1136	MG1136	MG1199	MG1199	0.8446	0.0000	0.1554	0.1554	Third_degree
MG1136	MG1136	MG1200	MG1200	0.8449	0.0000	0.1551	0.1551	Third_degree
MG1136	MG1136	MG1201	MG1201	0.8442	0.0000	0.1558	0.1558	Third_degree
MG1136	MG1136	MG1202	MG1202	0.8533	0.0000	0.1467	0.1467	Third_degree
MG1136	MG1136	MG1203	MG1203	0.8424	0.0000	0.1576	0.1576	Third_degree
MG1136	MG1136	MG1204	MG1204	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1136	MG1136	MG1206	MG1206	0.8432	0.0000	0.1568	0.1568	Third_degree
MG1136	MG1136	MG1207	MG1207	0.8488	0.0000	0.1512	0.1512	Third_degree
MG1136	MG1136	MG1208	MG1208	0.8448	0.0000	0.1552	0.1552	Third_degree
MG1136	MG1136	MG1209	MG1209	0.8439	0.0000	0.1561	0.1561	Third_degree
MG1136	MG1136	MG1210	MG1210	0.8565	0.0000	0.1435	0.1435	Third_degree
MG1136	MG1136	MG1211	MG1211	0.8440	0.0000	0.1560	0.1560	Third_degree
MG1136	MG1136	MG1212	MG1212	0.8431	0.0000	0.1569	0.1569	Third_degree
MG1136	MG1136	MG1213	MG1213	0.8516	0.0000	0.1484	0.1484	Third_degree
MG1136	MG1136	MG1214	MG1214	0.8519	0.0000	0.1481	0.1481	Third_degree
MG1136	MG1136	MG1215	MG1215	0.8533	0.0000	0.1467	0.1467	Third_degree
MG1136	MG1136	MG1216	MG1216	0.8414	0.0000	0.1586	0.1586	Third_degree
MG1136	MG1136	MG1217	MG1217	0.8526	0.0000	0.1474	0.1474	Third_degree
MG1136	MG1136	MG1218	MG1218	0.8653	0.0000	0.1347	0.1347	Third_degree
MG1136	MG1136	MG1219	MG1219	0.8512	0.0000	0.1488	0.1488	Third_degree
MG1136	MG1136	MG1220	MG1220	0.8453	0.0000	0.1547	0.1547	Third_degree
MG1136	MG1136	MG1221	MG1221	0.8433	0.0000	0.1567	0.1567	Third_degree
MG1136	MG1136	MG1222	MG1222	0.8463	0.0000	0.1537	0.1537	Third_degree
MG1136	MG1136	MG1223	MG1223	0.8510	0.0000	0.1490	0.1490	Third_degree
MG1136	MG1136	MG1224	MG1224	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1136	MG1136	MG1225	MG1225	0.8460	0.0000	0.1540	0.1540	Third_degree
MG1136	MG1136	MG1226	MG1226	0.8483	0.0000	0.1517	0.1517	Third_degree
MG1136	MG1136	MG1227	MG1227	0.8442	0.0000	0.1558	0.1558	Third_degree
MG1136	MG1136	MG1228	MG1228	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1136	MG1136	MG1229	MG1229	0.8471	0.0000	0.1529	0.1529	Third_degree
MG1136	MG1136	MG1230	MG1230	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1136	MG1136	MG1232	MG1232	0.8474	0.0000	0.1526	0.1526	Third_degree
MG1136	MG1136	MG1233	MG1233	0.8490	0.0000	0.1510	0.1510	Third_degree
MG1136	MG1136	MG1235	MG1235	0.8539	0.0000	0.1461	0.1461	Third_degree
MG1136	MG1136	MG1236	MG1236	0.8510	0.0000	0.1490	0.1490	Third_degree
MG1136	MG1136	MG1237	MG1237	0.8435	0.0000	0.1565	0.1565	Third_degree
MG1136	MG1136	MG1238	MG1238	0.8451	0.0000	0.1549	0.1549	Third_degree
MG1136	MG1136	MG1239	MG1239	0.8463	0.0000	0.1537	0.1537	Third_degree
MG1136	MG1136	MG1240	MG1240	0.8400	0.0000	0.1600	0.1600	Third_degree
MG1136	MG1136	MG1241	MG1241	0.8506	0.0000	0.1494	0.1494	Third_degree
MG1136	MG1136	MG1242	MG1242	0.8432	0.0000	0.1568	0.1568	Third_degree
MG1136	MG1136	MG1243	MG1243	0.8451	0.0000	0.1549	0.1549	Third_degree
MG1136	MG1136	MG1244	MG1244	0.8441	0.0000	0.1559	0.1559	Third_degree
MG1136	MG1136	MG1245	MG1245	0.8491	0.0000	0.1509	0.1509	Third_degree
MG1136	MG1136	MG1246	MG1246	0.8427	0.0000	0.1573	0.1573	Third_degree
MG1136	MG1136	MG1247	MG1247	0.8457	0.0000	0.1543	0.1543	Third_degree
MG1136	MG1136	MG1248	MG1248	0.8465	0.0000	0.1535	0.1535	Third_degree
MG1136	MG1136	MG1249	MG1249	0.8437	0.0000	0.1563	0.1563	Third_degree
MG1136	MG1136	MG1250	MG1250	0.8506	0.0000	0.1494	0.1494	Third_degree
MG1136	MG1136	MG1251	MG1251	0.8451	0.0000	0.1549	0.1549	Third_degree
MG1136	MG1136	MG1252	MG1252	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1136	MG1136	MG1253	MG1253	0.8475	0.0000	0.1525	0.1525	Third_degree
MG1136	MG1136	MG1254	MG1254	0.8520	0.0000	0.1480	0.1480	Third_degree
MG1136	MG1136	MG1255	MG1255	0.8454	0.0000	0.1546	0.1546	Third_degree
MG1136	MG1136	MG1256	MG1256	0.8472	0.0000	0.1528	0.1528	Third_degree
MG1136	MG1136	MG1257	MG1257	0.8527	0.0000	0.1473	0.1473	Third_degree
MG1136	MG1136	MG1258	MG1258	0.8530	0.0000	0.1470	0.1470	Third_degree
MG1136	MG1136	MG1259	MG1259	0.8433	0.0000	0.1567	0.1567	Third_degree
MG1136	MG1136	MG1260	MG1260	0.8401	0.0000	0.1599	0.1599	Third_degree
MG1136	MG1136	MG1261	MG1261	0.8464	0.0000	0.1536	0.1536	Third_degree
MG1136	MG1136	MG1262	MG1262	0.8501	0.0000	0.1499	0.1499	Third_degree
MG1136	MG1136	MG1263	MG1263	0.8481	0.0000	0.1519	0.1519	Third_degree
MG1136	MG1136	MG1264	MG1264	0.8507	0.0000	0.1493	0.1493	Third_degree
MG1136	MG1136	MG1265	MG1265	0.8473	0.0000	0.1527	0.1527	Third_degree
MG1136	MG1136	MG1266	MG1266	0.8448	0.0000	0.1552	0.1552	Third_degree
MG1136	MG1136	MG1267	MG1267	0.8506	0.0000	0.1494	0.1494	Third_degree
MG1136	MG1136	MG1268	MG1268	0.8495	0.0000	0.1505	0.1505	Third_degree
MG1136	MG1136	MG1269	MG1269	0.8575	0.0000	0.1425	0.1425	Third_degree
MG1136	MG1136	MG1270	MG1270	0.8410	0.0000	0.1590	0.1590	Third_degree
MG1136	MG1136	MG1271	MG1271	0.8439	0.0000	0.1561	0.1561	Third_degree
MG1136	MG1136	MG1272	MG1272	0.8433	0.0000	0.1567	0.1567	Third_degree
MG1136	MG1136	MG1273	MG1273	0.8453	0.0000	0.1547	0.1547	Third_degree
MG1136	MG1136	MG1274	MG1274	0.8406	0.0000	0.1594	0.1594	Third_degree
MG1136	MG1136	MG1275	MG1275	0.8416	0.0000	0.1584	0.1584	Third_degree
MG1136	MG1136	MG1276	MG1276	0.8448	0.0000	0.1552	0.1552	Third_degree
MG1136	MG1136	MG1277	MG1277	0.8485	0.0000	0.1515	0.1515	Third_degree
MG1136	MG1136	MG1278	MG1278	0.8504	0.0000	0.1496	0.1496	Third_degree
MG1136	MG1136	MG1279	MG1279	0.8437	0.0000	0.1563	0.1563	Third_degree
MG1136	MG1136	MG1280	MG1280	0.8484	0.0000	0.1516	0.1516	Third_degree
MG1136	MG1136	MG1281	MG1281	0.8432	0.0000	0.1568	0.1568	Third_degree
MG1136	MG1136	MG1282	MG1282	0.8425	0.0000	0.1575	0.1575	Third_degree
MG1136	MG1136	MG1284	MG1284	0.8493	0.0000	0.1507	0.1507	Third_degree
MG1136	MG1136	MG1285	MG1285	0.8458	0.0000	0.1542	0.1542	Third_degree
MG1136	MG1136	MG1286	MG1286	0.8453	0.0000	0.1547	0.1547	Third_degree
MG1136	MG1136	MG1287	MG1287	0.8503	0.0000	0.1497	0.1497	Third_degree
MG1136	MG1136	MG1288	MG1288	0.8449	0.0000	0.1551	0.1551	Third_degree
MG1136	MG1136	MG1289	MG1289	0.8460	0.0000	0.1540	0.1540	Third_degree
MG1136	MG1136	MG1290	MG1290	0.8490	0.0000	0.1510	0.1510	Third_degree
MG1136	MG1136	MG1291	MG1291	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1136	MG1136	MG1292	MG1292	0.8444	0.0000	0.1556	0.1556	Third_degree
MG1136	MG1136	MG1293	MG1293	0.8521	0.0000	0.1479	0.1479	Third_degree
MG1136	MG1136	MG1294	MG1294	0.8423	0.0000	0.1577	0.1577	Third_degree
MG1136	MG1136	MG1295	MG1295	0.8487	0.0000	0.1513	0.1513	Third_degree
MG1136	MG1136	MG1296	MG1296	0.8407	0.0000	0.1593	0.1593	Third_degree
MG1136	MG1136	MG1297	MG1297	0.8391	0.0000	0.1609	0.1609	Third_degree
MG1136	MG1136	MG1298	MG1298	0.8352	0.0000	0.1648	0.1648	Third_degree
MG1136	MG1136	MG1299	MG1299	0.8500	0.0000	0.1500	0.1500	Third_degree
MG1136	MG1136	MG1300	MG1300	0.8475	0.0000	0.1525	0.1525	Third_degree
MG1136	MG1136	MG1301	MG1301	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1136	MG1136	MG1302	MG1302	0.8453	0.0000	0.1547	0.1547	Third_degree
MG1136	MG1136	MG1303	MG1303	0.8405	0.0000	0.1595	0.1595	Third_degree
MG1136	MG1136	MG1304	MG1304	0.8574	0.0000	0.1426	0.1426	Third_degree
MG1136	MG1136	MG1305	MG1305	0.8547	0.0000	0.1453	0.1453	Third_degree
MG1136	MG1136	MG1306	MG1306	0.8410	0.0000	0.1590	0.1590	Third_degree
MG1136	MG1136	MG1307	MG1307	0.8428	0.0000	0.1572	0.1572	Third_degree
MG1136	MG1136	MG1308	MG1308	0.8669	0.0000	0.1331	0.1331	Third_degree
MG1136	MG1136	MG1309	MG1309	0.8527	0.0000	0.1473	0.1473	Third_degree
MG1136	MG1136	MG1310	MG1310	0.8516	0.0000	0.1484	0.1484	Third_degree
MG1136	MG1136	MG1311	MG1311	0.8475	0.0000	0.1525	0.1525	Third_degree
MG1136	MG1136	MG1312	MG1312	0.8491	0.0000	0.1509	0.1509	Third_degree
MG1136	MG1136	MG1313	MG1313	0.8542	0.0000	0.1458	0.1458	Third_degree
MG1136	MG1136	MG1314	MG1314	0.8490	0.0000	0.1510	0.1510	Third_degree
MG1136	MG1136	MG1315	MG1315	0.8535	0.0000	0.1465	0.1465	Third_degree
MG1136	MG1136	MG1316	MG1316	0.8500	0.0000	0.1500	0.1500	Third_degree
MG1136	MG1136	MG1317	MG1317	0.8464	0.0000	0.1536	0.1536	Third_degree
MG1136	MG1136	MG1318	MG1318	0.8414	0.0000	0.1586	0.1586	Third_degree
MG1136	MG1136	MG1319	MG1319	0.8428	0.0000	0.1572	0.1572	Third_degree
MG1136	MG1136	MG1320	MG1320	0.8441	0.0000	0.1559	0.1559	Third_degree
MG1136	MG1136	MG1321	MG1321	0.8537	0.0000	0.1463	0.1463	Third_degree
MG1136	MG1136	MG1323	MG1323	0.8492	0.0000	0.1508	0.1508	Third_degree
MG1136	MG1136	MG1324	MG1324	0.8557	0.0000	0.1443	0.1443	Third_degree
MG1136	MG1136	MG1326	MG1326	0.8482	0.0000	0.1518	0.1518	Third_degree
MG1136	MG1136	MG1327	MG1327	0.8484	0.0000	0.1516	0.1516	Third_degree
MG1136	MG1136	MG1328	MG1328	0.8506	0.0000	0.1494	0.1494	Third_degree
MG1136	MG1136	MG1329	MG1329	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1136	MG1136	MG1330	MG1330	0.8512	0.0000	0.1488	0.1488	Third_degree
MG1136	MG1136	MG1332	MG1332	0.8564	0.0000	0.1436	0.1436	Third_degree
MG1136	MG1136	MG1333	MG1333	0.8466	0.0000	0.1534	0.1534	Third_degree
MG1136	MG1136	MG1334	MG1334	0.8418	0.0000	0.1582	0.1582	Third_degree
MG1136	MG1136	MG1335	MG1335	0.8441	0.0000	0.1559	0.1559	Third_degree
MG1136	MG1136	MG1336	MG1336	0.8498	0.0000	0.1502	0.1502	Third_degree
MG1136	MG1136	MG1337	MG1337	0.8410	0.0000	0.1590	0.1590	Third_degree
MG1136	MG1136	MG1338	MG1338	0.8461	0.0000	0.1539	0.1539	Third_degree
MG1136	MG1136	MG1339	MG1339	0.8462	0.0000	0.1538	0.1538	Third_degree
MG1136	MG1136	MG1340	MG1340	0.8591	0.0000	0.1409	0.1409	Third_degree
MG1136	MG1136	MG1341	MG1341	0.8447	0.0000	0.1553	0.1553	Third_degree
MG1136	MG1136	MG1342	MG1342	0.8462	0.0000	0.1538	0.1538	Third_degree
MG1136	MG1136	MG1343	MG1343	0.8497	0.0000	0.1503	0.1503	Third_degree
MG1136	MG1136	MG1344	MG1344	0.8371	0.0000	0.1629	0.1629	Third_degree
MG1136	MG1136	MG1345	MG1345	0.8518	0.0000	0.1482	0.1482	Third_degree
MG1136	MG1136	MG1346	MG1346	0.8484	0.0000	0.1516	0.1516	Third_degree
MG1136	MG1136	MG1347	MG1347	0.8504	0.0000	0.1496	0.1496	Third_degree
MG1136	MG1136	MG1348	MG1348	0.8471	0.0000	0.1529	0.1529	Third_degree
MG1136	MG1136	MG1349	MG1349	0.8454	0.0000	0.1546	0.1546	Third_degree
MG1136	MG1136	MG1350	MG1350	0.8606	0.0000	0.1394	0.1394	Third_degree
MG1136	MG1136	MG1351	MG1351	0.8505	0.0000	0.1495	0.1495	Third_degree
MG1136	MG1136	MG1352	MG1352	0.8472	0.0000	0.1528	0.1528	Third_degree
MG1136	MG1136	MG1353	MG1353	0.8481	0.0000	0.1519	0.1519	Third_degree
MG1136	MG1136	MG1354	MG1354	0.8473	0.0000	0.1527	0.1527	Third_degree
MG1136	MG1136	MG1355	MG1355	0.8310	0.0000	0.1690	0.1690	Third_degree
MG1136	MG1136	MG1356	MG1356	0.8422	0.0000	0.1578	0.1578	Third_degree
MG1136	MG1136	MG1357	MG1357	0.8477	0.0000	0.1523	0.1523	Third_degree
MG1136	MG1136	MG1358	MG1358	0.8542	0.0000	0.1458	0.1458	Third_degree
MG1136	MG1136	MG1359	MG1359	0.8476	0.0000	0.1524	0.1524	Third_degree
MG1136	MG1136	MG1360	MG1360	0.8443	0.0000	0.1557	0.1557	Third_degree
MG1136	MG1136	MG1361	MG1361	0.8444	0.0000	0.1556	0.1556	Third_degree
MG1136	MG1136	MG1362	MG1362	0.8384	0.0000	0.1616	0.1616	Third_degree
MG1136	MG1136	MG1363	MG1363	0.8489	0.0000	0.1511	0.1511	Third_degree
MG1136	MG1136	MG1364	MG1364	0.8471	0.0000	0.1529	0.1529	Third_degree
MG1136	MG1136	MG1365	MG1365	0.8442	0.0000	0.1558	0.1558	Third_degree
MG1136	MG1136	MG1366	MG1366	0.8576	0.0000	0.1424	0.1424	Third_degree
MG1136	MG1136	MG1367	MG1367	0.8498	0.0000	0.1502	0.1502	Third_degree
MG1136	MG1136	MG1368	MG1368	0.8465	0.0000	0.1535	0.1535	Third_degree
MG1136	MG1136	MG1369	MG1369	0.8442	0.0000	0.1558	0.1558	Third_degree
MG1136	MG1136	MG1370	MG1370	0.8449	0.0000	0.1551	0.1551	Third_degree
MG1136	MG1136	MG1371	MG1371	0.8479	0.0000	0.1521	0.1521	Third_degree
MG1136	MG1136	MG1372	MG1372	0.8436	0.0000	0.1564	0.1564	Third_degree
MG1136	MG1136	MG1373	MG1373	0.8511	0.0000	0.1489	0.1489	Third_degree
MG1136	MG1136	MG1374	MG1374	0.8447	0.0000	0.1553	0.1553	Third_degree
MG1136	MG1136	MG1376	MG1376	0.8441	0.0000	0.1559	0.1559	Third_degree
MG1136	MG1136	MG1377	MG1377	0.8536	0.0000	0.1464	0.1464	Third_degree
MG1136	MG1136	MG1378	MG1378	0.8554	0.0000	0.1446	0.1446	Third_degree
MG1136	MG1136	MG1379	MG1379	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1136	MG1136	MG1380	MG1380	0.8471	0.0000	0.1529	0.1529	Third_degree
MG1136	MG1136	MG1381	MG1381	0.8502	0.0000	0.1498	0.1498	Third_degree
MG1136	MG1136	MG1382	MG1382	0.8451	0.0000	0.1549	0.1549	Third_degree
MG1136	MG1136	MG1383	MG1383	0.8451	0.0000	0.1549	0.1549	Third_degree
MG1136	MG1136	MG1384	MG1384	0.8408	0.0000	0.1592	0.1592	Third_degree
MG1136	MG1136	MG1385	MG1385	0.8437	0.0000	0.1563	0.1563	Third_degree
MG1136	MG1136	MG1388	MG1388	0.8489	0.0000	0.1511	0.1511	Third_degree
MG1136	MG1136	MG1389	MG1389	0.8398	0.0000	0.1602	0.1602	Third_degree
MG1136	MG1136	MG1390	MG1390	0.8486	0.0000	0.1514	0.1514	Third_degree
MG1136	MG1136	MG1391	MG1391	0.8490	0.0000	0.1510	0.1510	Third_degree
MG1136	MG1136	MG1392	MG1392	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1136	MG1136	MG1393	MG1393	0.8488	0.0000	0.1512	0.1512	Third_degree
MG1136	MG1136	MG1394	MG1394	0.8621	0.0000	0.1379	0.1379	Third_degree
MG1136	MG1136	MG1395	MG1395	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1136	MG1136	MG1396	MG1396	0.8651	0.0000	0.1349	0.1349	Third_degree
MG1136	MG1136	MG1397	MG1397	0.8546	0.0000	0.1454	0.1454	Third_degree
MG1136	MG1136	MG1398	MG1398	0.8443	0.0000	0.1557	0.1557	Third_degree
MG1136	MG1136	MG1399	MG1399	0.8449	0.0000	0.1551	0.1551	Third_degree
MG1136	MG1136	MG1400	MG1400	0.8556	0.0000	0.1444	0.1444	Third_degree
MG1136	MG1136	MG1401	MG1401	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1136	MG1136	MG1402	MG1402	0.8395	0.0000	0.1605	0.1605	Third_degree
MG1136	MG1136	MG1403	MG1403	0.8489	0.0000	0.1511	0.1511	Third_degree
MG1136	MG1136	MG1404	MG1404	0.8503	0.0000	0.1497	0.1497	Third_degree
MG1136	MG1136	MG1405	MG1405	0.8419	0.0000	0.1581	0.1581	Third_degree
MG1136	MG1136	MG1406	MG1406	0.8502	0.0000	0.1498	0.1498	Third_degree
MG1136	MG1136	MG1407	MG1407	0.8429	0.0000	0.1571	0.1571	Third_degree
MG1136	MG1136	MG1408	MG1408	0.8480	0.0000	0.1520	0.1520	Third_degree
MG1136	MG1136	MG1409	MG1409	0.8444	0.0000	0.1556	0.1556	Third_degree
MG1136	MG1136	MG1410	MG1410	0.8435	0.0000	0.1565	0.1565	Third_degree
MG1136	MG1136	MG1411	MG1411	0.8441	0.0000	0.1559	0.1559	Third_degree
MG1136	MG1136	MG1412	MG1412	0.8498	0.0000	0.1502	0.1502	Third_degree
MG1136	MG1136	MG1413	MG1413	0.8484	0.0000	0.1516	0.1516	Third_degree
MG1136	MG1136	MG1414	MG1414	0.8501	0.0000	0.1499	0.1499	Third_degree
MG1136	MG1136	MG1415	MG1415	0.8347	0.0000	0.1653	0.1653	Third_degree
MG1136	MG1136	MG1416	MG1416	0.8635	0.0000	0.1365	0.1365	Third_degree
MG1136	MG1136	MG1417	MG1417	0.8438	0.0000	0.1562	0.1562	Third_degree
MG1136	MG1136	MG1418	MG1418	0.8467	0.0000	0.1533	0.1533	Third_degree
MG1136	MG1136	MG1419	MG1419	0.8552	0.0000	0.1448	0.1448	Third_degree
MG1136	MG1136	MG1420	MG1420	0.8429	0.0000	0.1571	0.1571	Third_degree
MG1136	MG1136	MG1421	MG1421	0.8456	0.0000	0.1544	0.1544	Third_degree
MG1136	MG1136	MG1422	MG1422	0.8454	0.0000	0.1546	0.1546	Third_degree
